subjID,condA,condB,t,Ms_ad,Mo_ad,Ms_disad,Mo_disad,decision
1,1,1,1,-5,-15,-15,-5,1
1,1,2,1,15,5,5,15,1
1,2,1,1,-5,-15,-15,-5,1
1,2,2,1,15,5,5,15,1
1,1,1,2,-5,-15,-6,-5,2
1,1,2,2,6,5,5,15,1
1,2,1,2,-5,-15,-6,-5,2
1,2,2,2,6,5,5,15,1
1,1,1,3,-5,-6,-6,-5,1
1,1,2,3,6,5,5,6,1
1,2,1,3,-5,-6,-6,-5,1
1,2,2,3,6,5,5,6,2
1,1,1,4,-5,-20,-20,-5,1
1,1,2,4,20,5,5,20,2
1,2,1,4,-5,-20,-20,-5,1
1,2,2,4,20,5,5,20,2
1,1,1,5,-5,-10,-6,-5,2
1,1,2,5,6,5,5,10,1
1,2,1,5,-5,-10,-6,-5,2
1,2,2,5,6,5,5,10,2
1,1,1,6,-10,-12,-12,-10,1
1,1,2,6,12,10,10,12,1
1,2,1,6,-10,-12,-12,-10,1
1,2,2,6,12,10,10,12,1
1,1,1,7,-5,-20,-10,-5,2
1,1,2,7,10,5,5,20,1
1,2,1,7,-5,-20,-10,-5,1
1,2,2,7,10,5,5,20,1
1,1,1,8,-5,-10,-10,-5,1
1,1,2,8,10,5,5,10,1
1,2,1,8,-5,-10,-10,-5,1
1,2,2,8,10,5,5,10,1
1,1,1,9,-6,-5,-10,-4.99,1
1,1,2,9,10,4.99,6,5,1
1,2,1,9,-6,-5,-10,-4.99,1
1,2,2,9,10,4.99,6,5,1
1,1,1,10,-4,-5,-10,-4.99,1
1,1,2,10,10,4.99,4,5,1
1,2,1,10,-4,-5,-10,-4.99,1
1,2,2,10,10,4.99,4,5,1
1,1,1,11,-10,-6,-10,-5,2
1,1,2,11,10,5,10,6,2
1,2,1,11,-10,-6,-10,-5,2
1,2,2,11,10,5,10,6,2
1,1,1,12,-10,-12,-8,-10,2
1,1,2,12,8,10,10,12,2
1,2,1,12,-10,-12,-8,-10,2
1,2,2,12,8,10,10,12,2
2,1,1,1,-5,-15,-15,-5,2
2,1,2,1,15,5,5,15,1
2,2,1,1,-5,-15,-15,-5,1
2,2,2,1,8,10,10,12,2
2,1,1,2,-5,-15,-6,-5,2
2,1,2,2,6,5,5,15,1
2,2,1,2,-5,-15,-6,-5,2
2,2,2,2,6,5,5,15,1
2,1,1,3,-5,-6,-6,-5,2
2,1,2,3,6,5,5,6,2
2,2,1,3,-5,-6,-6,-5,2
2,2,2,3,20,5,5,20,1
2,1,1,4,-5,-20,-20,-5,1
2,1,2,4,20,5,5,20,1
2,2,1,4,-5,-20,-20,-5,1
2,2,2,4,10,4.99,4,5,2
2,1,1,5,-5,-10,-6,-5,2
2,1,2,5,6,5,5,10,1
2,2,1,5,-5,-10,-6,-5,2
2,2,2,5,15,5,5,15,2
2,1,1,6,-10,-12,-12,-10,2
2,1,2,6,12,10,10,12,1
2,2,1,6,-10,-12,-12,-10,2
2,2,2,6,6,5,5,10,1
2,1,1,7,-5,-20,-10,-5,2
2,1,2,7,10,5,5,20,1
2,2,1,7,-5,-20,-10,-5,2
2,2,2,7,10,4.99,6,5,2
2,1,1,8,-5,-10,-10,-5,1
2,1,2,8,10,5,5,10,1
2,2,1,8,-5,-10,-10,-5,2
2,2,2,8,10,5,5,10,1
2,1,1,9,-6,-5,-10,-4.99,1
2,1,2,9,10,4.99,6,5,2
2,2,1,9,-6,-5,-10,-4.99,1
2,2,2,9,6,5,5,6,2
2,1,1,10,-4,-5,-10,-4.99,1
2,1,2,10,10,4.99,4,5,2
2,2,1,10,-4,-5,-10,-4.99,1
2,2,2,10,10,5,5,20,1
2,1,1,11,-10,-6,-10,-5,2
2,1,2,11,10,5,10,6,2
2,2,1,11,-10,-6,-10,-5,2
2,2,2,11,10,5,10,6,2
2,1,1,12,-10,-12,-8,-10,2
2,1,2,12,8,10,10,12,2
2,2,1,12,-10,-12,-8,-10,2
2,2,2,12,12,10,10,12,1
3,1,1,1,-5,-15,-15,-5,1
3,1,2,1,15,5,5,15,1
3,2,1,1,-5,-15,-15,-5,1
3,2,2,1,15,5,5,15,2
3,1,1,2,-5,-15,-6,-5,2
3,1,2,2,6,5,5,15,2
3,2,1,2,-5,-15,-6,-5,2
3,2,2,2,6,5,5,15,2
3,1,1,3,-5,-6,-6,-5,1
3,1,2,3,6,5,5,6,1
3,2,1,3,-5,-6,-6,-5,1
3,2,2,3,6,5,5,6,1
3,1,1,4,-5,-20,-20,-5,1
3,1,2,4,20,5,5,20,1
3,2,1,4,-5,-20,-20,-5,1
3,2,2,4,20,5,5,20,2
3,1,1,5,-5,-10,-6,-5,2
3,1,2,5,6,5,5,10,2
3,2,1,5,-5,-10,-6,-5,2
3,2,2,5,6,5,5,10,1
3,1,1,6,-10,-12,-12,-10,1
3,1,2,6,12,10,10,12,2
3,2,1,6,-10,-12,-12,-10,1
3,2,2,6,12,10,10,12,1
3,1,1,7,-5,-20,-10,-5,1
3,1,2,7,10,5,5,20,2
3,2,1,7,-5,-20,-10,-5,2
3,2,2,7,10,5,5,20,2
3,1,1,8,-5,-10,-10,-5,1
3,1,2,8,10,5,5,10,1
3,2,1,8,-5,-10,-10,-5,1
3,2,2,8,10,5,5,10,1
3,1,1,9,-6,-5,-10,-4.99,1
3,1,2,9,10,4.99,6,5,1
3,2,1,9,-6,-5,-10,-4.99,1
3,2,2,9,10,4.99,6,5,1
3,1,1,10,-4,-5,-10,-4.99,1
3,1,2,10,10,4.99,4,5,1
3,2,1,10,-4,-5,-10,-4.99,1
3,2,2,10,10,4.99,4,5,1
3,1,1,11,-10,-6,-10,-5,2
3,1,2,11,10,5,10,6,1
3,2,1,11,-10,-6,-10,-5,2
3,2,2,11,10,5,10,6,2
3,1,1,12,-10,-12,-8,-10,2
3,1,2,12,8,10,10,12,2
3,2,1,12,-10,-12,-8,-10,2
3,2,2,12,8,10,10,12,2
4,1,1,1,-5,-15,-15,-5,1
4,1,2,1,15,5,5,15,1
4,2,1,1,-5,-15,-15,-5,2
4,2,2,1,15,5,5,15,2
4,1,1,2,-5,-15,-6,-5,2
4,1,2,2,6,5,5,15,2
4,2,1,2,-5,-15,-6,-5,2
4,2,2,2,6,5,5,15,2
4,1,1,3,-5,-6,-6,-5,1
4,1,2,3,6,5,5,6,1
4,2,1,3,-5,-6,-6,-5,2
4,2,2,3,6,5,5,6,2
4,1,1,4,-5,-20,-20,-5,1
4,1,2,4,20,5,5,20,1
4,2,1,4,-5,-20,-20,-5,2
4,2,2,4,20,5,5,20,1
4,1,1,5,-5,-10,-6,-5,2
4,1,2,5,6,5,5,10,1
4,2,1,5,-5,-10,-6,-5,2
4,2,2,5,6,5,5,10,2
4,1,1,6,-10,-12,-12,-10,1
4,1,2,6,12,10,10,12,1
4,2,1,6,-10,-12,-12,-10,2
4,2,2,6,12,10,10,12,2
4,1,1,7,-5,-20,-10,-5,2
4,1,2,7,10,5,5,20,2
4,2,1,7,-5,-20,-10,-5,2
4,2,2,7,10,5,5,20,2
4,1,1,8,-5,-10,-10,-5,1
4,1,2,8,10,5,5,10,1
4,2,1,8,-5,-10,-10,-5,2
4,2,2,8,10,5,5,10,2
4,1,1,9,-6,-5,-10,-4.99,1
4,1,2,9,10,4.99,6,5,1
4,2,1,9,-6,-5,-10,-4.99,1
4,2,2,9,10,4.99,6,5,1
4,1,1,10,-4,-5,-10,-4.99,1
4,1,2,10,10,4.99,4,5,1
4,2,1,10,-4,-5,-10,-4.99,1
4,2,2,10,10,4.99,4,5,1
4,1,1,11,-10,-6,-10,-5,2
4,1,2,11,10,5,10,6,2
4,2,1,11,-10,-6,-10,-5,2
4,2,2,11,10,5,10,6,2
4,1,1,12,-10,-12,-8,-10,2
4,1,2,12,8,10,10,12,2
4,2,1,12,-10,-12,-8,-10,2
4,2,2,12,8,10,10,12,1
5,1,1,1,-5,-15,-15,-5,1
5,1,2,1,15,5,5,15,1
5,2,1,1,-5,-15,-15,-5,1
5,2,2,1,15,5,5,15,1
5,1,1,2,-5,-15,-6,-5,2
5,1,2,2,6,5,5,15,2
5,2,1,2,-5,-15,-6,-5,2
5,2,2,2,6,5,5,15,2
5,1,1,3,-5,-6,-6,-5,1
5,1,2,3,6,5,5,6,1
5,2,1,3,-5,-6,-6,-5,1
5,2,2,3,6,5,5,6,2
5,1,1,4,-5,-20,-20,-5,1
5,1,2,4,20,5,5,20,1
5,2,1,4,-5,-20,-20,-5,1
5,2,2,4,20,5,5,20,1
5,1,1,5,-5,-10,-6,-5,1
5,1,2,5,6,5,5,10,1
5,2,1,5,-5,-10,-6,-5,1
5,2,2,5,6,5,5,10,2
5,1,1,6,-10,-12,-12,-10,1
5,1,2,6,12,10,10,12,1
5,2,1,6,-10,-12,-12,-10,1
5,2,2,6,12,10,10,12,2
5,1,1,7,-5,-20,-10,-5,1
5,1,2,7,10,5,5,20,1
5,2,1,7,-5,-20,-10,-5,1
5,2,2,7,10,5,5,20,1
5,1,1,8,-5,-10,-10,-5,1
5,1,2,8,10,5,5,10,1
5,2,1,8,-5,-10,-10,-5,1
5,2,2,8,10,5,5,10,1
5,1,1,9,-6,-5,-10,-4.99,1
5,1,2,9,10,4.99,6,5,1
5,2,1,9,-6,-5,-10,-4.99,1
5,2,2,9,10,4.99,6,5,1
5,1,1,10,-4,-5,-10,-4.99,1
5,1,2,10,10,4.99,4,5,1
5,2,1,10,-4,-5,-10,-4.99,1
5,2,2,10,10,4.99,4,5,1
5,1,1,11,-10,-6,-10,-5,2
5,1,2,11,10,5,10,6,2
5,2,1,11,-10,-6,-10,-5,2
5,2,2,11,10,5,10,6,2
5,1,1,12,-10,-12,-8,-10,2
5,1,2,12,8,10,10,12,2
5,2,1,12,-10,-12,-8,-10,2
5,2,2,12,8,10,10,12,1
6,1,1,1,-5,-15,-15,-5,1
6,1,2,1,15,5,5,15,1
6,2,1,1,-5,-15,-15,-5,2
6,2,2,1,15,5,5,15,1
6,1,1,2,-5,-15,-6,-5,2
6,1,2,2,6,5,5,15,2
6,2,1,2,-5,-15,-6,-5,2
6,2,2,2,6,5,5,15,2
6,1,1,3,-5,-6,-6,-5,1
6,1,2,3,6,5,5,6,1
6,2,1,3,-5,-6,-6,-5,2
6,2,2,3,6,5,5,6,2
6,1,1,4,-5,-20,-20,-5,2
6,1,2,4,20,5,5,20,1
6,2,1,4,-5,-20,-20,-5,1
6,2,2,4,20,5,5,20,2
6,1,1,5,-5,-10,-6,-5,2
6,1,2,5,6,5,5,10,2
6,2,1,5,-5,-10,-6,-5,1
6,2,2,5,6,5,5,10,2
